接收距离(cm),热风速度(r/min),厚度mm,孔隙率（%）,压缩回弹性率（%）,过滤阻力Pa,过滤效率（%）,透气性 mm/s
40,800,2.766 ,96.204 ,84.763 ,24.756 ,48.212 ,654.149 
40,800,2.755 ,95.879 ,84.969 ,26.008 ,51.443 ,609.855 
40,800,2.757 ,95.965 ,84.649 ,26.222 ,49.680 ,635.112 
40,900,3.051 ,96.114 ,85.315 ,27.168 ,48.599 ,521.793 
40,900,3.051 ,96.925 ,85.365 ,25.324 ,45.964 ,553.849 
40,900,3.045 ,96.944 ,85.281 ,26.509 ,47.935 ,528.230 
40,1000,3.282 ,96.742 ,85.526 ,20.859 ,40.336 ,514.212 
40,1000,3.269 ,96.703 ,85.539 ,26.555 ,46.184 ,427.811 
40,1000,3.287 ,97.284 ,85.605 ,18.142 ,38.145 ,552.567 
40,1100,3.415 ,96.810 ,85.073 ,24.321 ,42.637 ,465.083 
40,1100,3.421 ,96.950 ,85.178 ,20.198 ,40.202 ,507.454 
40,1100,3.432 ,96.512 ,84.848 ,26.068 ,44.500 ,429.876 
40,1200,3.514 ,96.566 ,83.517 ,24.706 ,44.169 ,429.708 
40,1200,3.527 ,96.466 ,83.897 ,24.827 ,44.489 ,425.807 
40,1200,3.510 ,97.132 ,83.591 ,22.306 ,42.529 ,461.952 
35,800,2.401 ,95.802 ,86.538 ,31.782 ,52.124 ,412.587 
35,800,2.406 ,96.054 ,87.095 ,30.635 ,52.491 ,409.948 
35,800,2.401 ,96.023 ,86.524 ,31.364 ,49.547 ,447.138 
35,900,2.706 ,96.092 ,86.971 ,28.574 ,47.936 ,444.472 
35,900,2.692 ,96.540 ,87.273 ,27.318 ,46.224 ,467.432 
35,900,2.690 ,96.584 ,87.540 ,27.747 ,47.071 ,458.915 
35,1000,2.915 ,96.531 ,87.075 ,26.279 ,45.601 ,464.563 
35,1000,2.922 ,96.407 ,87.459 ,28.022 ,47.981 ,427.141 
35,1000,2.927 ,96.612 ,87.360 ,25.670 ,45.059 ,474.014 
35,1100,3.068 ,96.382 ,87.252 ,20.121 ,40.039 ,541.526 
35,1100,3.061 ,96.290 ,86.889 ,24.110 ,43.357 ,490.599 
35,1100,3.069 ,96.502 ,87.110 ,23.237 ,42.264 ,499.226 
35,1200,3.159 ,96.799 ,85.689 ,27.410 ,47.197 ,423.778 
35,1200,3.157 ,96.811 ,85.861 ,23.545 ,42.781 ,487.312 
35,1200,3.160 ,96.463 ,85.591 ,19.676 ,40.508 ,530.758 
30,800,2.115 ,95.536 ,87.722 ,36.317 ,52.851 ,408.301 
30,800,2.117 ,95.003 ,87.559 ,34.944 ,53.011 ,404.072 
30,800,2.116 ,94.904 ,87.508 ,38.163 ,51.688 ,419.581 
30,900,2.390 ,95.676 ,88.390 ,32.159 ,49.716 ,430.364 
