,date,open,close,high,low,volume,code
74,2010-04-26,10.801,9.246,11.237,9.223,107036.13,600519
75,2010-04-27,9.216,6.255,9.216,6.068,58234.48,600519
76,2010-04-28,5.542,5.639,6.594,4.79,26287.43,600519
77,2010-04-29,5.962,7.232,7.991,5.962,34501.2,600519
78,2010-04-30,5.113,3.31,5.113,2.349,85566.7,600519
79,2010-05-04,2.529,3.017,3.708,1.702,23975.16,600519
80,2010-05-05,2.386,4.633,4.971,2.011,33838.78,600519
81,2010-05-06,4.79,2.048,4.79,2.011,28240.34,600519
82,2010-05-07,1.034,4.047,4.317,0.658,31254.76,600519
83,2010-05-10,5.542,6.699,8.547,5.542,66192.58,600519
84,2010-05-11,8.239,6.789,8.547,6.165,33632.41,600519
85,2010-05-12,6.511,6.428,7.044,4.039,21643.19,600519
86,2010-05-13,6.466,7.698,8.322,6.466,27049.54,600519
87,2010-05-14,7.705,7.758,8.63,7.044,18126.16,600519
88,2010-05-17,7.57,3.889,7.57,3.739,17643.59,600519
89,2010-05-18,4.039,4.122,4.768,1.169,26037.47,600519
90,2010-05-19,4.415,3.911,4.941,2.551,10798.97,600519
91,2010-05-20,3.626,5.151,6.541,3.295,22740.45,600519
92,2010-05-21,3.588,7.202,7.495,2.89,27341.38,600519
93,2010-05-24,7.788,8.524,8.923,7.27,29783.47,600519
94,2010-05-25,8.246,4.978,8.246,4.603,22050.77,600519
95,2010-05-26,5.166,5.497,6.038,4.159,11025.31,600519
96,2010-05-31,6.669,5.452,7.961,5.452,23549.88,600519
97,2010-06-01,5.354,6.015,6.639,4.415,23525.57,600519
98,2010-06-02,5.962,7.165,7.345,5.279,21889.44,600519
99,2010-06-03,7.788,7.818,8.923,6.594,24949.42,600519
100,2010-06-04,7.743,10.14,10.35,7.202,30036.43,600519
101,2010-06-07,9.298,12.349,13.258,8.547,38125.07,600519
102,2010-06-08,12.349,11.642,12.965,10.801,14394.78,600519
103,2010-06-09,11.717,12.619,13.506,11.612,18053.93,600519
104,2010-06-10,12.604,12.566,13.506,11.95,11781.27,600519
105,2010-06-11,12.732,10.583,13.43,10.47,19572.75,600519
106,2010-06-17,10.951,8.908,11.169,8.78,12523.71,600519
107,2010-06-18,8.554,5.737,9.148,4.798,20102.29,600519
108,2010-06-21,5.842,7.375,7.42,4.941,18954.01,600519
109,2010-06-22,6.488,5.684,6.999,5.091,20779.1,600519
110,2010-06-23,5.542,5.316,6.203,5.106,12812.76,600519
111,2010-06-24,5.474,4.017,5.895,3.799,24344.03,600519
112,2010-06-25,3.889,4.43,4.79,3.16,19011.35,600519
113,2010-06-28,4.189,2.544,4.204,2.394,14816.98,600519
114,2010-06-29,2.92,1.237,3.581,0.666,27782.66,600519
115,2010-06-30,1.034,2.056,2.161,0.771,17824.12,600519
116,2010-07-01,2.424,1.8,2.424,1.409,7449.69,600519
117,2010-07-02,1.447,2.296,3.363,1.447,16452.7,600519
118,2010-07-05,2.3,1.781,2.525,0.842,14040.74,600519
119,2010-07-06,1.849,3.126,3.547,1.173,15306.43,600519
120,2010-07-07,3.126,2.916,3.802,2.3,8788.28,600519
121,2010-07-08,2.758,3.667,3.802,2.758,8516.41,600519
